article_id,industry_tag
902144,1
902146,0
902150,1
902152,0
902154,0
902156,0
902158,0
902160,0
902162,0
902164,1
902166,0
902168,1
902170,0
902172,1
902174,0
902176,1
902178,1
902180,0
902182,1
902184,0
902186,1
902190,1
902204,1
902206,1
902208,1
902210,1
902212,0
902214,0
902216,0
902218,0
902220,0
902226,0
902236,0
902238,0
902240,0
902244,0
902246,0
902248,0
902252,1
902262,0
902268,0
902270,0
902278,0
902280,0
902282,0
902286,0
902288,0
902292,1
902294,0
902296,0
902298,1
902300,0
902302,1
902312,0
902314,0
902316,0
902318,0
902328,0
902340,0
902342,0
902344,0
902346,0
902348,0
902352,0
902354,0
902356,1
902358,0
902360,0
902368,1
902370,0
902376,0
902384,0
902390,1
902392,0
902398,0
902400,0
902402,0
902404,0
902410,0
902414,1
902418,0
902422,0
902424,0
902426,0
902428,0
902432,0
902434,0
902444,0
902446,0
902448,0
902458,0
902460,0
902468,0
902470,0
902472,1
902474,0
902476,0
902480,0
902482,1
902484,1
902486,1
902488,1
902490,1
902496,1
902498,0
902500,0
902502,0
902504,0
902506,0
902512,0
902516,0
902518,0
902520,0
902524,0
902526,1
902528,0
902538,0
902544,1
902546,1
902548,0
902550,0
902552,0
902556,0
902560,0
902562,0
902564,0
902566,0
902570,0
902574,0
902576,0
902578,0
902580,0
902584,0
902586,0
902588,0
902592,1
902594,0
902598,1
902600,0
902602,0
902604,0
902606,1
902608,0
902618,1
902620,0
902622,0
902628,0
902636,0
902640,0
902642,1
902644,1
902646,0
902652,0
902662,1
902664,0
902668,0
902670,0
902674,0
902678,0
902686,0
902694,0
902696,1
902698,0
902700,0
902706,0
902710,0
902712,0
902714,0
902718,0
902724,0
902726,0
902730,0
902740,0
902744,1
902746,0
902748,0
902752,0
902758,1
902760,0
902762,0
902766,0
902768,0
902770,0
902772,0
902774,1
902776,1
902780,1
902782,0
902786,0
902788,0
902790,0
902794,0
902796,1
902800,0
902802,0
902806,0
902808,0
902810,1
902812,0
902816,0
902818,0
902820,0
902822,1
902824,1
902828,0
902830,0
902834,0
902836,1
902838,0
902840,0
902842,0
902844,1
902846,0
902854,0
902856,0
902860,0
902864,0
902866,0
902868,0
902872,0
902874,0
902880,0
902882,0
902884,0
902886,0
902888,0
902890,0
902892,1
902894,0
902896,0
902898,0
902902,0
902904,0
902906,1
902912,1
902914,0
902916,0
902918,0
902920,0
902922,1
902924,1
902928,1
902930,1
902932,0
902934,1
902936,0
902938,0
902940,0
902942,0
902944,0
902946,0
902950,1
902952,1
902954,0
902958,0
902960,0
902962,0
902964,0
902968,1
902970,0
902972,0
902976,1
902978,0
902980,0
902982,0
902984,0
902986,0
902990,0
902994,0
902998,0
903000,1
903004,0
903006,0
903010,0
903012,0
903014,0
903018,1
903022,1
903024,1
903026,0
903028,1
903030,1
903032,0
903034,0
903040,0
903042,1
903044,0
903050,0
903052,0
903056,1
903058,0
903060,1
903062,0
903064,1
903066,0
903068,0
903070,0
903072,1
903074,0
903076,0
903078,0
903080,0
903082,0
903084,0
903088,0
903090,0
903092,0
903094,0
903096,0
903098,0
903102,0
903106,1
903108,1
903110,0
903112,0
903114,1
903116,1
903118,1
903120,0
903122,0
903124,1
903128,0
903130,1
903132,0
903138,1
903142,1
903144,0
903146,0
903148,1
903154,0
903156,0
903158,1
903160,1
903162,1
903164,0
903166,1
903168,0
903170,0
903172,0
903174,0
903176,0
903180,1
903182,1
903184,1
903186,0
903188,1
903190,0
903192,0
903194,1
903196,0
903198,0
903200,1
903204,0
903206,0
903208,0
903212,0
903214,0
903216,0
903218,0
903222,0
903224,0
903228,0
903230,0
903232,1
903234,0
903236,0
903248,0
903250,0
903252,0
903254,0
903260,1
903262,0
903264,0
903266,0
903270,0
903274,0
903276,0
903282,0
903288,1
903292,0
903294,0
903296,0
903298,0
903300,0
903306,0
903310,0
903316,1
903318,0
903320,0
903324,0
903326,0
903328,1
903330,0
903332,0
903340,0
903342,0
903344,0
903346,0
903352,1
903354,0
903356,0
903360,0
903362,0
903364,0
903374,0
903378,0
903380,0
903382,0
903384,0
903388,0
903390,0
903396,0
903398,0
903402,0
903404,0
903406,1
903408,0
903418,0
903420,1
903430,1
903432,1
903434,0
903436,0
903440,0
903442,1
903444,0
903446,1
903448,1
903450,0
903452,1
903456,1
903458,1
903460,1
903462,0
903464,0
903466,0
903468,0
903470,0
903472,1
903476,0
903480,0
903482,0
903496,0
903498,0
903500,1
903504,1
903506,0
903508,1
903512,1
903514,0
903516,0
903518,1
903520,1
903524,1
903528,1
903530,1
903532,0
903534,0
903536,0
903538,1
903548,1
903550,0
903552,0
903554,0
903556,0
903558,0
903560,1
903562,0
903564,0
903568,0
903572,1
903574,0
903576,0
903578,1
903580,0
903582,0
903586,0
903588,1
903594,0
903596,0
903598,0
903600,0
903602,0
903608,1
903610,1
903612,0
903614,0
903616,1
903618,0
903620,0
903622,0
903626,1
903630,0
903632,0
903634,0
903646,0
903652,1
903660,0
903664,0
903666,0
903668,0
903670,0
903678,0
903680,0
903688,0
903690,1
903694,0
903700,0
903702,0
903706,0
903710,0
903712,1
903718,0
903722,0
903724,0
903728,0
903732,0
903734,0
903736,0
903742,0
903744,0
903746,0
903748,0
903750,0
903752,1
903754,1
903756,0
903758,0
903760,1
903762,1
903766,1
903768,0
903770,0
903772,1
903774,0
903776,0
903778,0
903780,0
903784,0
903786,0
903792,1
903794,0
903796,0
903800,0
903806,0
903810,0
903812,0
903814,0
903816,1
903818,0
903820,1
903822,1
903824,1
903828,1
903842,0
903846,1
903852,0
903856,1
903858,1
903860,0
903862,0
903868,0
903876,0
903882,0
903888,0
903890,0
903892,0
903898,0
903904,0
903910,1
903912,0
903916,0
903924,0
903928,0
903930,1
903934,1
903936,1
903940,0
903942,0
903944,1
903948,0
903950,0
903954,1
903956,1
903958,0
903964,0
903966,1
903968,0
903970,0
903972,0
903974,1
903976,0
903978,0
903980,0
903982,0
903984,0
903986,0
903988,0
903990,0
903992,0
903994,1
903998,0
904000,1
904004,0
904006,1
904014,0
904016,0
904018,0
904020,0
904022,0
904026,0
904028,0
904032,0
904034,0
904036,0
904040,0
904042,0
904048,0
904052,1
904054,1
904058,0
904062,0
904064,1
904072,0
904074,0
904076,1
904082,0
904084,0
904086,1
904088,0
904090,0
904092,1
904096,0
904098,0
904100,1
904102,0
904104,0
904106,0
904108,1
904110,0
904112,0
904114,0
904116,0
904122,0
904128,1
904130,1
904134,0
904136,0
904138,0
904140,0
904148,0
904150,0
904156,0
904160,0
904162,1
904166,0
904168,0
904170,0
904174,1
904176,0
904180,0
904182,0
904184,0
904186,0
904188,0
904190,0
904192,1
904194,0
904196,0
904198,0
904200,0
904202,0
904204,0
904206,0
904210,0
904214,0
904218,0
904220,0
904222,1
904224,0
904228,1
904230,1
904232,0
904234,0
904236,0
904238,0
904240,1
904244,0
904246,0
904248,0
904250,1
904252,0
904258,1
904260,0
904264,1
904270,1
904272,0
904274,0
904276,0
904278,0
904280,1
904282,1
904284,0
904288,0
904290,1
904292,0
904294,0
904296,0
904298,0
904302,0
904304,0
904306,0
904308,0
904310,0
904312,0
904314,0
904316,0
904318,0
904320,0
904322,0
904326,0
904330,0
904332,0
904334,0
904338,1
904340,1
904342,1
904344,0
904346,1
904348,0
904356,0
904360,0
904362,0
904364,0
904370,1
904376,1
904384,0
904386,0
904388,1
904390,0
904392,0
904394,1
904398,0
904402,0
904406,0
904408,0
904410,0
904412,1
904414,1
904416,0
904418,1
904422,0
904424,0
904426,0
904428,0
904430,0
904432,0
904438,0
904440,0
904442,0
904444,0
904448,1
904450,0
904452,1
904454,0
904458,0
904462,0
904464,0
904466,0
904470,0
904474,0
904476,0
904478,0
904480,0
904482,0
904484,0
904486,0
904488,0
904490,0
904492,1
904494,0
904496,0
904498,1
904502,1
904504,1
904506,0
904508,0
904510,0
904512,0
904516,0
904518,0
904520,1
904522,0
904524,0
904526,0
904528,0
904530,0
904532,1
904536,0
904538,1
904542,0
904544,0
904546,0
904550,0
904552,0
904554,1
904556,0
904558,0
904560,0
904562,0
904564,1
904566,0
904568,1
904570,1
904576,0
904578,1
904582,0
904586,0
904588,1
904590,0
904598,0
904600,1
904602,0
904610,0
904612,0
904614,0
904616,0
904618,0
904620,0
904622,0
904624,0
904626,0
904628,0
904630,0
904632,0
904636,1
904638,0
904640,1
904644,1
904646,0
904648,0
904650,0
904654,0
904656,0
904658,1
904660,0
904662,0
904664,1
904666,0
904668,1
904672,0
904674,1
904676,0
904682,0
904684,0
904686,0
904690,0
904692,0
904696,0
904698,0
904700,0
904702,0
904704,0
904706,0
904708,0
904710,1
904712,1
904716,1
904718,0
904720,0
904722,1
904724,0
904726,1
904728,1
904730,0
904732,0
904734,1
904740,1
904742,1
904744,0
904746,0
904748,0
904756,0
904758,1
904762,0
904764,0
904768,0
904772,0
904774,1
904776,0
904778,0
904780,0
904782,0
904784,0
904788,0
904790,0
904792,0
904796,0
904798,0
904800,0
904802,0
904804,0
904806,0
904808,0
904812,0
904814,0
904816,0
904818,1
904820,0
904824,0
904826,1
904828,0
904830,1
904836,0
904838,0
904840,0
904844,0
904848,1
904852,0
904854,0
904856,1
904858,0
904864,0
904866,1
904868,0
904870,0
904872,0
904876,1
904878,0
904880,0
904884,1
904886,0
904888,0
904892,0
904894,0
904898,1
904904,0
904912,0
904914,0
904916,0
904918,0
904924,0
904926,0
904928,1
904930,1
904932,1
904942,0
904946,1
904950,0
904952,1
904954,1
904956,0
904960,0
904964,0
904966,1
904970,0
904972,0
904974,1
904978,0
904980,1
904982,1
904984,0
904986,1
904988,0
904992,0
904994,1
904996,0
905002,0
905006,0
905012,0
905014,0
905016,0
905018,1
905020,0
905022,1
905024,1
905032,0
905034,0
905036,0
905038,1
905040,0
905042,0
905044,1
905050,1
905052,1
905054,0
905056,0
905058,1
905062,0
905064,1
905066,0
905068,0
905076,0
905078,0
905084,0
905086,0
905092,1
905096,0
905102,0
905106,1
905108,1
905110,0
905114,1
905122,0
905124,1
905128,1
905130,1
905134,0
905136,1
905142,0
905154,1
905158,0
905162,0
905164,0
905166,0
905174,1
905176,0
905180,1
905184,0
905188,0
905192,1
905194,1
905198,1
905202,0
905204,1
905206,1
905210,0
905220,0
905240,0
905242,0
905244,0
905250,0
905262,0
905264,0
905266,0
905268,0
905270,0
905272,0
905278,0
905280,0
905284,1
905286,1
905288,0
905294,0
905296,0
905298,0
905300,0
905302,0
905326,1
905328,1
905330,1
905332,1
905336,0
905344,0
905346,0
905348,0
905350,0
905354,0
905356,0
905360,1
905362,0
905366,1
905368,0
905370,1
905376,0
905378,0
905384,0
905390,0
905392,0
905396,0
905398,0
905402,0
905410,0
905412,1
905414,1
905418,1
905420,0
905424,0
905426,0
905432,0
905434,0
905444,1
905448,0
905454,1
905462,0
905472,0
905478,0
905480,0
905484,0
905492,0
905494,1
905496,0
905498,1
905500,1
905506,0
905510,1
905514,0
905518,0
905522,0
905524,1
905526,0
905528,0
905530,1
905532,1
905534,0
905536,0
905538,0
905542,1
905548,1
905554,0
905558,0
905560,0
905562,0
905564,1
905568,0
905572,0
905576,1
905582,0
905586,0
905588,0
905596,0
905598,0
905600,0
905606,0
905612,0
905616,0
905618,1
905640,1
905644,0
905646,1
